0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
VEGFA,NMRK1,CDK6,RPS25,IFITM2,NRGN,KIAA0040,PRDX2,ALAS1,GADD45A,ITGA6,,LDLRAP1,CD300A,,CTSD,,C1QB,ANK3,
SEMA6B,SH2D1A,WDR74,RPL9,ID2,CCR2,FCRLA,PSIP1,ISG15,RAMP1,SLC44A2,,TMIGD2,CBLB,,CAPG,,PPM1N,FBLN7,
LILRA3,PLA2G16,TNFRSF9,RPL27A,HMGB2,SPARC,RAB30,CD247,XAF1,ARAP2,GDF15,,SH3YL1,MYBL1,,CEBPB,,COX6A1P2,ICOS,
FPR1,SLC9A3R1,SLC7A5,RPS8,EZR,IGFBP7,RASGRP2,C6orf48,ATF5,RHOF,VNN2,,SCML4,BZRAP1-AS1,,LGALS1,,AC079767.4,RP11-1399P15.1,
TNFAIP3,OASL,CD69,RPS23,,FOSB,CD72,AAK1,APOL3,PMAIP1,ITPKB,,CTD-3184A7.4,HENMT1,,AIF1,,CTSK,RTKN2,
EREG,STAT4,C14orf1,RPS27A,,RGS2,KIAA0226L,FYN,APOL4,BCL2L11,THRA,,TSHZ2,YPEL1,,CST3,,IL10,RP4-594I10.3,
IL7R,TIGIT,C1orf228,RPL32,,CD1E,SIPA1L1,KIAA1551,IFIT2,CRIP1,MICAL2,,FAM211A,PSD4,,FCGRT,,HIST2H2AA3,UBASH3A,
CFP,CDC42EP3,HELLS,RPS18,,ARHGAP24,ZNF92,EMB,GCH1,ADAM19,NCAM1,,PDK1,ADAM8,,GLUL,,PPBP,FAM13A,
G0S2,PLEKHF1,CD40LG,RPL7A,,EPHB6,ST6GAL1,SPOCK2,CXCL10,MAP4K4,,,NOG,ADRB2,,ATOX1,,MAP3K7CL,IKZF4,
TNIP3,APOBEC3H,MAD2L1,RPL37,,LINC00936,BCAS4,SLFN5,MX1,MMP7,,,RIC3,SYTL3,,APLP2,,APPL2,SLC37A3,
S100A12,NFATC2,IFT57,RPL29,,NBEAL2,TMEM154,LAT,SOCS1,TMEM120B,,,CLUAP1,RP11-611E13.2,,CTSH,,NFXL1,METTL12,
PDPN,ATP2B4,H2AFX,RPL23A,,TLE3,METTL8,SYNE2,CLEC10A,CBR3,,,FHIT,SESN1,,LST1,,SDC3,PGAP1,
PTGS2,PARP8,MAP7D3,RPL18,,GAB3,BCL7A,FAM65B,HAPLN3,GRASP,,,C11orf1,MIR24-2,,CYP1B1,,EIF5AL1,RP11-861A13.4,
CRIM1,DAAM1,TMEM106C,RPS29,,FN1,HLA-DOA,S1PR4,TRIM22,SEL1L3,,,NGFRAP1,ABHD15,,ANXA1,,NUPR1,TNFRSF10A,
PDE4B,TSEN54,KIF20B,RPL13A,,RGS18,TMEM156,CD7,CXCL9,MST4,,,HAGHL,ABCB1,,S100A9,,BMF,FXYD1,
SERPINB9,AC092580.4,ATAD2,RPL35A,,NR4A2,BACH2,KMT2A,IRF7,RGS1,,,THEMIS,PATL2,,IGSF6,,LIPE-AS1,TCEA3,
RP11-701P16.5,ZFYVE28,ITGB3BP,RPS15A,,CKAP2,CAMK2D,TBC1D10C,CD38,RUNX2,,,APBA2,ZNF600,,ACP5,,CHKB,FAM115C,
